,,,,,,
,,,,,,
OCN,ncell =,122880,,384,320,
,size   = ,nvars * nt * nlev *ncell * 4 bytes,,,,TOTAL
Freq,monthly,monthly,monthly,daily,annual,
hX,h,h,h,h1,h1,
nt,12,12,12,365,1,
nlev,60,1,15,1,60,
nvars,69,150,19,16,63,
size (Gb/year),24.42,0.88,1.68,2.87,1.86,31.71
,ALK,ADVS,diatC,HMXL_DR_2,CaCO3_ALT_CO2_FLUX_IN,
,AOU,ADVS_ISOP,diatChl,SSS,CaCO3_ALT_CO2_REMIN,
,CO3,ADVS_SUBM,diatFe,SST,CaCO3_FLUX_IN,
,co3_sat_arag,ADVT,diatP,SST2,CaCO3_form,
,co3_sat_calc,ADVT_ISOP,diatSi,XMXL_2,CaCO3_PROD,
,DENITRIF,ADVT_SUBM,diazC,diatC_zint_100m,CaCO3_REMIN,
,DIA_IMPVF_DIC,ATM_CO2,diazChl,diazC_zint_100m,DIA_IMPVF_DOC,
,,BSF,diazFe,DpCO2_2,DIA_IMPVF_DOCr,
,DIA_IMPVF_SALT,CaCO3_FLUX_100m,diaz_Nfix,ECOSYS_IFRAC_2,DIA_IMPVF_Fe,
,DIA_IMPVF_TEMP,CaCO3_PROD_zint_100m,diazP,ECOSYS_XKW_2,DIA_IMPVF_O2,
,DIC,CaCO3_REMIN_zint_100m,PAR_avg,FG_CO2_2,DOC_remin,
,DIC_ALT_CO2,CO2STAR,photoC_TOT,photoC_diat_zint_2,DOCr_remin,
,DOC,DCO2STAR,,photoC_diaz_zint_2,DON_remin,
,Fe,DIA_DEPTH,,photoC_sp_zint_2,DONr_remin,
,H2CO3,diat_Fe_lim_Cweight_avg_100m,,spC_zint_100m,graze_auto_TOT,
,HCO3,diat_light_lim_Cweight_avg_100m,,STF_O2_2,HDIFB_DOC,
,IAGE,diat_N_lim_Cweight_avg_100m,,,HDIFB_DOCr,
,J_DIC,diat_P_lim_Cweight_avg_100m,,,HDIFB_Fe,
,J_PO4,diat_SiO3_lim_Cweight_avg_100m,,,HDIFB_O2,
,KPP_SRC_TEMP,diaz_Fe_lim_Cweight_avg_100m,,,HDIFE_DOC,
,KPP_SRC_SALT,diaz_light_lim_Cweight_avg_100m,,,HDIFE_DOCr,
,KPP_SRC_DIC,diaz_P_lim_Cweight_avg_100m,,,HDIFE_Fe,
,NH4,DOC_prod_zint_100m,,,HDIFE_O2,
,NITRIF,DOC_remin_zint_100m,,,HDIFN_DOC,
,NO3,DOCr_remin_zint_100m,,,HDIFN_DOCr,
,O2,DpCO2,,,HDIFN_Fe,
,O2_CONSUMPTION,DpCO2_ALT_CO2,,,HDIFN_O2,
,O2_PRODUCTION,dTEMP_NEG_2D,,,J_ALK,
,PD,dTEMP_POS_2D,,,J_ALK_ALT_CO2,
,pH_3D,ECOSYS_ATM_PRESS,,,J_Fe,
,PO4,ECOSYS_IFRAC,,,J_NH4,
,POC_FLUX_IN,ECOSYS_XKW,,,J_NO3,
,POC_PROD,EVAP_F,,,J_SiO3,
,Q,FG_ALT_CO2,,,KPP_SRC_Fe,
,QSW_3D,FG_CO2,,,KPP_SRC_O2,
,RHO,FvICE_DIC,,,POC_REMIN_DIC,
,SALT,FvICE_DIC_ALT_CO2,,,POC_REMIN_DOCr,
,SF6,FvPER_DIC,,,PON_REMIN_DONr,
,SiO2_FLUX_IN,FvPER_DIC_ALT_CO2,,,PON_REMIN_NH4,
,SiO2_PROD,FW,,,RF_TEND_DIC,
,SiO3,graze_diat_doc_zint_100m,,,RF_TEND_DIC_ALT_CO2,
,TEMP,graze_diat_poc_zint_100m,,,RF_TEND_DOC,
,UE_DIC,graze_diat_zint_100m,,,RF_TEND_DOCr,
,UES,graze_diat_zoo_zint_100m,,,RF_TEND_Fe,
,UET,graze_diaz_doc_zint_100m,,,RF_TEND_O2,
,UISOP,graze_diaz_poc_zint_100m,,,TEND_DIC,
,USUBM,graze_diaz_zint_100m,,,TEND_DIC_ALT_CO2,
,UVEL,graze_diaz_zoo_zint_100m,,,TEND_DOC,
,VDC_S,graze_sp_doc_zint_100m,,,TEND_DOCr,
,VDC_T,graze_sp_poc_zint_100m,,,TEND_Fe,
,VISOP,graze_sp_zint_100m,,,TEND_O2,
,VN_DIC,graze_sp_zoo_zint_100m,,,UE_DOC,
,VNS,HBLT,,,UE_DOCr,
,VNS_ISOP,HDIFS,,,UE_Fe,
,VNS_SUBM,HDIFT,,,UE_O2,
,VNT,HLS_SUBM,,,VN_DOC,
,VNT_ISOP,HMXL,,,VN_DOCr,
,VNT_SUBM,HMXL_DR,,,VN_Fe,
,VSUBM,IFRAC,,,VN_O2,
,VVC,INT_DEPTH,,,WT_DOC,
,VVEL,IOFF_F,,,WT_DOCr,
,WISOP,IRON_FLUX,,,WT_Fe,
,WSUBM,Jint_100m_DIC,,,WT_O2,
,WT_DIC,Jint_100m_O2,,,,
,WTS,LWDN_F,,,,
,WTT,LWUP_F,,,,
,WVEL,MELT_F,,,,
,TEND_TEMP,MELTH_F,,,,
,TEND_SALT,MOC,,,,
,TEND_DIC,N_HEAT,,,,
,,N_SALT,,,,
,,O2SAT,,,,
,,pCO2SURF,,,,
,,PH,,,,
,,photoC_diat_zint_100m,,,,
,,photoC_diaz_zint_100m,,,,
,,photoC_NO3_TOT_zint_100m,,,,
,,photoC_sp_zint_100m,,,,
,,photoC_TOT_zint_100m,,,,
,,POC_FLUX_100m,,,,
,,POC_PROD_zint_100m,,,,
,,POC_REMIN_DIC_zint_100m,,,,
,,POC_REMIN_DOCr_zint_100m,,,,
,,POP_FLUX_100m,,,,
,,PREC_F,,,,
,,QFLUX,,,,
,,QSW_HBL,,,,
,,QSW_HTP,,,,
,,RESID_S,,,,
,,RESID_T,,,,
,,RHO_VINT,,,,
,,ROFF_F,,,,
,,SALT_F,,,,
,,SCHMIDT_CO2,,,,
,,SCHMIDT_O2,,,,
,,SENH_F,,,,
,,SFWF,,,,
,,SFWF_WRST,,,,
,,SHF,,,,
,,SHF_QSW,,,,
,,SNOW_F,,,,
,,sp_Fe_lim_Cweight_avg_100m,,,,
,,sp_light_lim_Cweight_avg_100m,,,,
,,sp_loss_doc_zint_100m,,,,
